// Creator: RBR Ltd.
// Create time: 2025-06-30T10:50:08
// Instrument model firmware and serialID: RBRmaestro³ 1.148 231853
// Sample period: 0.5 second
// Processing history:
//	/home/epoirier/Documents/PROJETS/2025/Proc_RBR_Somlit/summer_2024/temp/231853_20240624_1036_somlit_23_20240620.rsk opened using pyRSKtools v1.1.1.
//	Sea pressure calculated using an atmospheric pressure of 10.1325 dbar.
//	Zero-order hold corrected for channel(s) conductivity, temperature, pressure, temperature1, dissolved_o2_concentration, par, ph, chlorophyll-a, fdom, turbidity, sea_pressure, depth, salinity, speed_of_sound, specific_conductivity, dissolved_o2_saturation. Hold points were treated with interp.
//	Depth calculated using the TEOS-10 library and a latitude of 48.35 degrees
//	Profiling velocity calculated from depth, filtered with a windowLength of 3 samples.
//	Remove loops with the threshold of 0.05 m/s.
//	Sea pressure calculated using an atmospheric pressure of 10.1325 dbar.
//	Depth calculated using the TEOS-10 library and a latitude of 45.0 degrees
//	Profiling velocity calculated from depth, filtered with a windowLength of 3 samples.
//	Practical Salinity derived using TEOS-10 library
//	Potential density anomaly derived using the TEOS-10 library.
//	Binned with respect to depth using [8.625 0.75 ] boundaries with [0.25] m bin size.
// Comment: up CAST

// timestamp(yyyy-mm-ddTHH:MM:ss.FFF),    conductivity(mS/cm),    temperature(°C),    temperature1(°C),    dissolved_o2_concentration(µmol/L),    par(µMol/m²/s),    ph(pH_units),    chlorophyll-a(ug/l),    fdom(ppb),    turbidity(FTU),    depth(m),    salinity(PSU),    density_anomaly(kg/m³),    cast_direction
2024-06-20T14:38:35.000,    nan,    nan,    nan,    nan,    nan,    nan,    nan,    nan,    nan,    8.5,    nan,    nan,    d
2024-06-20T14:40:42.000,    43.631446075439456,    16.356170654296875,    16.363169288635255,    294.162939453125,    1007.9919555664062,    8.68942985534668,    1.1100000381469726,    5.026300239562988,    0.6943599820137024,    0.75,    34.445831869857884,    25.24369314269834,    u
2024-06-20T14:40:38.500,    43.634525299072266,    16.352427164713543,    16.358388476901585,    294.2080586751302,    1651.4592692057292,    8.689229647318522,    1.076833380593194,    4.244389083650377,    0.6954555445247226,    1.0,    34.45170005322008,    25.249074021622263,    u
2024-06-20T14:40:35.250,    43.64217472076416,    16.35114288330078,    16.352949142456055,    295.5055389404297,    1249.2082061767578,    8.688614845275879,    1.0245000552386045,    1.895875072106719,    0.7065624743700027,    1.25,    34.45946934904188,    25.25534807185994,    u
2024-06-20T14:40:32.750,    43.64945856730143,    16.346603393554688,    16.349833329518635,    293.99155680338544,    1134.0868123372395,    8.688834349314371,    1.7540833950042725,    3.0068335284789405,    0.7254166503747305,    1.5,    34.469739429316455,    25.264294533379672,    u
2024-06-20T14:40:30.000,    43.652529907226565,    16.34189453125,    16.347150230407713,    295.1623962402344,    1186.1280395507813,    8.688640975952149,    1.1302000522613525,    5.627500367164612,    0.6900799870491028,    1.75,    34.476426573553084,    25.27052868934343,    u
2024-06-20T14:40:27.500,    43.659237670898435,    16.339044189453126,    16.344039344787596,    294.5119689941406,    935.5667236328125,    8.688451194763184,    1.2581000328063965,    4.555500221252442,    0.6569299697875977,    2.0,    34.48473098612909,    25.27757484673798,    u
2024-06-20T14:40:25.000,    43.65972671508789,    16.336236572265626,    16.342209243774413,    294.7912902832031,    873.6594360351562,    8.688039398193359,    1.2012000560760498,    5.171400308609009,    0.7214499831199646,    2.25,    34.487494443129194,    25.28035552023357,    u
2024-06-20T14:40:23.000,    43.660963694254555,    16.333730061848957,    16.341300010681152,    295.79205322265625,    824.1885579427084,    8.6886625289917,    1.277833382288615,    6.102667013804118,    0.7150999704996744,    2.5,    34.49065965515466,    25.2833751422905,    u
2024-06-20T14:40:21.250,    43.66104984283447,    16.331443786621094,    16.340087413787842,    294.7701873779297,    740.1775512695312,    8.688001871109009,    1.1502500623464584,    3.258250080049038,    0.8122124820947647,    2.75,    34.49262853056665,    25.285423790313075,    u
2024-06-20T14:40:19.000,    43.660597229003905,    16.326751708984375,    16.334699630737305,    295.021240234375,    672.1856323242188,    8.688220977783203,    1.5027000665664674,    4.033000135421753,    0.7239699840545655,    3.0,    34.49619560735921,    25.289256484704083,    u
2024-06-20T14:40:02.500,    43.6639356144139,    16.32426327564677,    16.334270148980814,    295.49939415103097,    611.290075083248,    8.687521184077028,    1.4838115582700635,    4.389237927608803,    0.7323598187477862,    3.25,    34.501229246847004,    25.293704768379303,    u
2024-06-20T14:39:45.750,    43.67473856608073,    16.325841267903645,    16.334116617838543,    295.58693440755206,    525.8219095865885,    8.686636606852213,    1.3539167245229085,    4.557416915893555,    0.7054249942302704,    3.5,    34.50929323049468,    25.299546617907634,    u
2024-06-20T14:39:42.500,    43.68337958199637,    16.325592041015625,    16.33290699550084,    295.3211975097656,    549.5287955147879,    8.686399187360491,    1.5908571992601668,    4.443428822926113,    0.718699974673135,    3.75,    34.517050136698465,    25.3055724385963,    u
2024-06-20T14:39:39.250,    43.68317413330078,    16.324117024739582,    16.33032464981079,    295.5683339436849,    543.7724558512369,    8.685786247253418,    1.8840834101041157,    4.394583582878113,    0.7369666397571564,    4.0,    34.51804738466596,    25.306688499834536,    u
2024-06-20T14:39:36.250,    43.6805165608724,    16.32080586751302,    16.327216148376465,    295.5835316975911,    487.06602478027344,    8.685704867045084,    1.7946667671203613,    4.637083530426025,    0.693491647640864,    4.25,    34.51846855361312,    25.307785828885244,    u
2024-06-20T14:39:33.000,    43.67808532714844,    16.31880623953683,    16.324978147234237,    295.4985831124442,    418.1724940708705,    8.685414859226771,    1.8040000711168562,    4.53000020980835,    0.673792839050293,    4.5,    34.517951001527315,    25.307859374173827,    u
2024-06-20T14:39:30.000,    43.67690887451172,    16.316384887695314,    16.32450942993164,    295.88896484375,    400.47483520507814,    8.685215473175049,    1.7677000761032104,    4.4397002220153805,    0.7240399837493896,    4.75,    34.51892350573754,    25.309173496028414,    u
