// Creator: RBR Ltd.
// Create time: 2025-06-30T10:50:16
// Instrument model firmware and serialID: RBRmaestro³ 1.148 231853
// Sample period: 0.5 second
// Processing history:
//	/home/epoirier/Documents/PROJETS/2025/Proc_RBR_Somlit/summer_2024/temp/231853_20240806_1338 somlit25à29_20240710.rsk opened using pyRSKtools v1.1.1.
//	Sea pressure calculated using an atmospheric pressure of 10.1325 dbar.
//	Zero-order hold corrected for channel(s) conductivity, temperature, pressure, temperature1, dissolved_o2_concentration, par, ph, chlorophyll-a, fdom, turbidity, sea_pressure, depth, salinity, speed_of_sound, specific_conductivity, dissolved_o2_saturation. Hold points were treated with interp.
//	Depth calculated using the TEOS-10 library and a latitude of 48.35 degrees
//	Profiling velocity calculated from depth, filtered with a windowLength of 3 samples.
//	Remove loops with the threshold of 0.05 m/s.
//	Sea pressure calculated using an atmospheric pressure of 10.1325 dbar.
//	Depth calculated using the TEOS-10 library and a latitude of 45.0 degrees
//	Profiling velocity calculated from depth, filtered with a windowLength of 3 samples.
//	Practical Salinity derived using TEOS-10 library
//	Potential density anomaly derived using the TEOS-10 library.
//	Binned with respect to depth using [9.625 0.75 ] boundaries with [0.25] m bin size.
// Comment: up CAST

// timestamp(yyyy-mm-ddTHH:MM:ss.FFF),    conductivity(mS/cm),    temperature(°C),    temperature1(°C),    dissolved_o2_concentration(µmol/L),    par(µMol/m²/s),    ph(pH_units),    chlorophyll-a(ug/l),    fdom(ppb),    turbidity(FTU),    depth(m),    salinity(PSU),    density_anomaly(kg/m³),    cast_direction
2024-07-10T06:42:40.500,    nan,    nan,    nan,    nan,    nan,    nan,    nan,    nan,    nan,    9.25,    nan,    nan,    d
2024-07-10T06:42:40.500,    nan,    nan,    nan,    nan,    nan,    nan,    nan,    nan,    nan,    9.5,    nan,    nan,    d
2024-07-10T06:44:39.000,    44.00068228585379,    16.173328218005953,    16.179285321916854,    273.5494471958705,    204.36940002441406,    8.706424985613141,    2.1184286730630055,    3.92228593145098,    0.6451142600604466,    0.75,    34.93254440647669,    25.659828736046816,    u
2024-07-10T06:44:36.250,    44.00717639923096,    16.172993977864582,    16.178999423980713,    274.11936950683594,    189.81428146362305,    8.706324815750122,    1.8313750922679901,    3.9276251792907715,    0.6259374618530273,    1.0,    34.93850278951659,    25.664495259236332,    u
2024-07-10T06:44:33.750,    44.00921376546224,    16.172892252604168,    16.178740819295246,    274.14100138346356,    175.70889790852866,    8.706171035766602,    1.6814167499542236,    3.8963335355122886,    0.6389833192030588,    1.25,    34.94030344040103,    25.665911885300222,    u
2024-07-10T06:44:31.500,    44.01043828328451,    16.1728515625,    16.17859935760498,    272.43116251627606,    161.94995625813803,    8.70598316192627,    1.8248333930969238,    3.866166830062866,    0.6529666384061178,    1.5,    34.94134357812792,    25.666728479125975,    u
2024-07-10T06:44:29.500,    44.01127395629883,    16.17254638671875,    16.178298950195312,    273.01361694335935,    145.69056701660156,    8.70606803894043,    1.8940000534057617,    3.8834001541137697,    0.6578699707984924,    1.75,    34.942243313845104,    25.6675005997296,    u
2024-07-10T06:44:27.000,    44.011331176757814,    16.172705078125,    16.178669929504395,    275.8617919921875,    139.93512268066405,    8.706389427185059,    1.5768000602722168,    4.05570011138916,    0.6852199792861938,    2.0,    34.94207385647093,    25.667341278820412,    u
2024-07-10T06:44:24.500,    44.012437438964845,    16.172967529296876,    16.178579902648927,    275.10908203125,    123.43231506347657,    8.704107284545898,    1.7064000844955445,    4.073400259017944,    0.7134599685668945,    2.25,    34.942686087310484,    25.6677643728553,    u
2024-07-10T06:44:21.750,    44.014261881510414,    16.173370361328125,    16.179124037424724,    274.40317789713544,    115.69446818033855,    8.705492973327637,    1.7665834228197734,    4.023250182469686,    0.6632749934991201,    2.5,    34.94387216133878,    25.668590742739337,    u
2024-07-10T06:44:19.750,    44.01508808135986,    16.173675537109375,    16.179624557495117,    274.86643981933594,    112.99752426147461,    8.704962730407715,    1.7232500910758972,    4.046750068664551,    0.6605499684810638,    2.75,    34.944244213607675,    25.66881510940493,    u
2024-07-10T06:44:17.000,    44.015726725260414,    16.17394341362847,    16.1799439324273,    274.8584391276042,    101.0620379977756,    8.705175505744087,    1.9241667588551838,    3.9563335047827826,    0.6379888719982572,    3.0,    34.94448556928962,    25.668947314470415,    u
2024-07-10T06:44:14.000,    44.01712290445963,    16.173665364583332,    16.180299758911133,    275.0863749186198,    94.41181945800781,    8.70493253072103,    1.6445000966389973,    3.881500244140625,    0.6451333165168762,    3.25,    34.945852880306525,    25.67007319957217,    u
2024-07-10T06:44:05.000,    44.017448078502305,    16.173105413263496,    16.180070674780644,    275.0123485218395,    93.79609911369555,    8.704660444548637,    1.7736061450206873,    3.9674547152085737,    0.6909727092945215,    3.5,    34.94655282786178,    25.67074767825974,    u
2024-07-10T06:43:54.857,    44.01785387311663,    16.17403302873884,    16.181041990007675,    275.1346348353795,    77.40760040283203,    8.704274722508021,    1.7739286593028478,    3.954857281276158,    0.6246285523687091,    3.75,    34.94597640999779,    25.670102234301307,    u
2024-07-10T06:43:52.200,    44.01831207275391,    16.1745361328125,    16.181419372558594,    275.04468994140626,    69.68154449462891,    8.70406265258789,    1.60910005569458,    3.9414001941680907,    0.6780499815940857,    4.0,    34.94584258183539,    25.66989263072128,    u
2024-07-10T06:43:49.200,    44.02000045776367,    16.17481689453125,    16.18163928985596,    275.4251342773438,    61.517633056640626,    8.703720855712891,    1.816800093650818,    3.9310001850128176,    0.6652699947357178,    4.25,    34.94698496969481,    25.670716313572438,    u
2024-07-10T06:43:47.000,    44.02029609680176,    16.175074259440105,    16.181649684906006,    275.86150614420575,    57.31680170694987,    8.7031938234965,    1.6285834113756816,    3.9089168310165405,    0.7820666333039602,    4.5,    34.94695047319268,    25.670637086975375,    u
2024-07-10T06:43:44.000,    44.02177047729492,    16.1750732421875,    16.181849098205568,    274.77882690429686,    51.80752944946289,    8.703139305114746,    1.6980000495910645,    3.871400165557861,    0.6483399748802186,    4.75,    34.94814209065534,    25.671564277000062,    u
2024-07-10T06:43:41.250,    44.02124881744385,    16.17553202311198,    16.18174123764038,    274.59105428059894,    48.594909032185875,    8.702661037445068,    1.9444167613983154,    3.89175017674764,    0.6519499818483988,    5.0,    34.94719055103878,    25.670735069677562,    u
2024-07-10T06:43:38.500,    44.02071914672852,    16.175299072265624,    16.18143939971924,    274.1119689941406,    46.09159469604492,    8.702256965637208,    1.876400089263916,    3.8654001712799073,    0.646459984779358,    5.25,    34.946837139105256,    25.670525186903113,    u
2024-07-10T06:43:36.000,    44.02200546264648,    16.175274658203126,    16.181760025024413,    275.18597412109375,    43.34779815673828,    8.701959800720214,    1.7440000534057618,    3.8820001602172853,    0.6829199910163879,    5.5,    34.94790170351663,    25.671358307265244,    u
2024-07-10T06:43:32.750,    44.02423334121704,    16.175207138061523,    16.182818174362183,    274.23218154907227,    40.490323066711426,    8.701863765716553,    1.6235000938177109,    3.892375200986862,    0.6790874823927879,    5.75,    34.949832737139175,    25.672868091677202,    u
2024-07-10T06:43:30.000,    44.023460388183594,    16.175120035807293,    16.182724952697754,    274.89479573567706,    39.10786056518555,    8.70133113861084,    2.137500047683716,    3.87850022315979,    0.7146499752998352,    6.0,    34.949119381289734,    25.672349393323355,    u
2024-07-10T06:43:26.750,    44.023123550415036,    16.175242614746093,    16.183261775970458,    274.3563598632812,    39.053841781616214,    8.700417137145996,    1.6270000696182252,    3.866950178146362,    0.6160049855709075,    6.25,    34.94860366604373,    25.671934826001415,    u
2024-07-10T06:43:23.750,    44.024070739746094,    16.17584228515625,    16.18494987487793,    273.69468688964844,    39.49922752380371,    8.700648784637451,    1.3640000224113464,    3.857500195503235,    0.6613999605178833,    6.5,    34.94883043675986,    25.671979125986127,    u
2024-07-10T06:43:21.750,    44.02987162272135,    16.17706807454427,    16.18507432937622,    274.79798380533856,    37.99951426188151,    8.70041036605835,    1.9258334438006084,    3.8527501821517944,    0.6494833131631216,    6.75,    34.95279470503241,    25.674754225994167,    u
2024-07-10T06:43:19.000,    44.02782287597656,    16.177874755859374,    16.1841890335083,    273.58347778320314,    37.44835739135742,    8.700209808349609,    1.8717000961303711,    3.8802001953125,    1.0442999839782714,    7.0,    34.95018863730418,    25.6725724098932,    u
2024-07-10T06:43:16.000,    44.02668925694057,    16.17783464704241,    16.18413543701172,    274.131591796875,    36.13171168736049,    8.700074604579381,    1.7620000839233398,    3.8540002277919223,    0.6430928366524833,    7.25,    34.94909648503677,    25.671753325063396,    u
2024-07-10T06:43:13.000,    44.03163070678711,    16.1775634765625,    16.184829330444337,    273.7109313964844,    34.45108184814453,    8.699446678161621,    1.6160000801086425,    3.9144001960754395,    0.6387599825859069,    7.5,    34.95363042133856,    25.675309477550307,    u
2024-07-10T06:43:10.750,    44.03010129928589,    16.177566528320312,    16.18428659439087,    274.16417694091797,    31.367107391357422,    8.699225187301636,    1.638500064611435,    3.860000193119049,    0.6648249924182892,    7.75,    34.95216038374966,    25.674188910380224,    u
