// SOMLIT somlit.fr;;;;;;;
// RBR processing IUEM;2025-06-30;12:50:06;;;;;
ID_SITE;DATE;HEURE;TEMPERATURE;FLUORESCENCE;PAR;SALINITE;PROFONDEUR
//;(yyyy-mm-dd);(hh:mm:ss);°C;µg/l;µMol/m²/s;PSU;m
;;;;;;;
5;2024-06-03;13:38:54;15.8811;2.0;377.298;34.2827;0.75
5;2024-06-03;13:38:52;15.8632;1.0;540.961;34.2996;1.0
5;2024-06-03;13:38:50;15.8467;1.0;664.666;34.3076;1.25
5;2024-06-03;13:38:48;15.8229;1.0;702.841;34.3199;1.5
5;2024-06-03;13:38:46;15.8141;1.0;756.761;34.3308;1.75
5;2024-06-03;13:38:44;15.8109;2.0;762.957;34.3329;2.0
5;2024-06-03;13:38:42;15.8135;1.0;888.679;34.3304;2.25
5;2024-06-03;13:38:39;15.8134;2.0;963.657;34.3362;2.5
5;2024-06-03;13:38:37;15.8115;2.0;793.697;34.3408;2.75
5;2024-06-03;13:38:34;15.8074;2.0;804.699;34.3387;3.0
5;2024-06-03;13:38:31;15.8079;2.0;386.952;34.3604;3.25
5;2024-06-03;13:38:28;15.8086;2.0;189.636;34.3609;3.5
5;2024-06-03;13:38:23;15.8083;2.0;160.815;34.3915;3.75
5;2024-06-03;13:38:17;15.8148;2.0;138.686;34.3895;4.0
5;2024-06-03;13:38:11;15.8116;2.0;129.724;34.3887;4.25
5;2024-06-03;13:38:06;15.8123;2.0;118.602;34.3785;4.5
5;2024-06-03;13:38:00;15.8098;2.0;111.205;34.3867;4.75
5;2024-06-03;13:37:53;15.8097;2.0;84.552;34.3802;5.0
5;2024-06-03;13:37:47;15.8101;2.0;81.539;34.3875;5.25
5;2024-06-03;13:37:42;15.8093;2.0;86.1;34.3883;5.5
5;2024-06-03;13:37:36;15.8086;2.0;85.032;34.3793;5.75
5;2024-06-03;13:37:30;15.8093;2.0;83.696;34.3826;6.0
5;2024-06-03;13:37:25;15.8056;2.0;89.69;34.3691;6.25
5;2024-06-03;13:37:21;15.7998;2.0;92.369;34.3664;6.5
