// Creator: RBR Ltd.
// Create time: 2025-07-01T09:12:06
// Instrument model firmware and serialID: RBRmaestro³ 1.148 231853
// Sample period: 0.5 second
// Processing history:
//	/home/epoirier/Documents/PROJETS/2025/Proc_RBR_Somlit/summer_2024/temp/231853_20240806_1338 somlit25à29_20240703.rsk opened using pyRSKtools v1.1.1.
//	Sea pressure calculated using an atmospheric pressure of 10.1325 dbar.
//	Zero-order hold corrected for channel(s) conductivity, temperature, pressure, temperature1, dissolved_o2_concentration, par, ph, chlorophyll-a, fdom, turbidity, sea_pressure, depth, salinity, speed_of_sound, specific_conductivity, dissolved_o2_saturation. Hold points were treated with interp.
//	Depth calculated using the TEOS-10 library and a latitude of 48.35 degrees
//	Profiling velocity calculated from depth, filtered with a windowLength of 3 samples.
//	Remove loops with the threshold of 0.05 m/s.
//	Sea pressure calculated using an atmospheric pressure of 10.1325 dbar.
//	Depth calculated using the TEOS-10 library and a latitude of 45.0 degrees
//	Profiling velocity calculated from depth, filtered with a windowLength of 3 samples.
//	Practical Salinity derived using TEOS-10 library
//	Potential density anomaly derived using the TEOS-10 library.
//	Binned with respect to depth using [9.625 0.75 ] boundaries with [0.25] m bin size.
// Comment: up CAST

// timestamp(yyyy-mm-ddTHH:MM:ss.FFF),    conductivity(mS/cm),    temperature(°C),    temperature1(°C),    dissolved_o2_concentration(µmol/L),    par(µMol/m²/s),    ph(pH_units),    chlorophyll-a(ug/l),    fdom(ppb),    turbidity(FTU),    depth(m),    salinity(PSU),    density_anomaly(kg/m³),    cast_direction
2024-07-03T14:07:42.500,    nan,    nan,    nan,    nan,    nan,    nan,    nan,    nan,    nan,    9.5,    nan,    nan,    d
2024-07-03T14:09:49.000,    44.1413688659668,    16.396769205729168,    16.39859962463379,    283.1743469238281,    297.34311930338544,    8.68173917134603,    1.2076667149861653,    3.9848334789276123,    0.5715833306312561,    0.75,    34.8612024572599,    25.5533589119954,    u
2024-07-03T14:09:46.500,    44.147823333740234,    16.391880580357142,    16.39491449083601,    283.33534022739957,    286.6846139090402,    8.68156133379255,    1.2673571961266654,    4.019071681158883,    0.5896642633846828,    1.0,    34.87110940521673,    25.562111488306332,    u
2024-07-03T14:09:44.000,    44.15883000691732,    16.385782877604168,    16.39204978942871,    283.7000223795573,    275.56959025065106,    8.681139628092447,    1.1153333981831868,    4.07033356030782,    0.5670666495958964,    1.25,    34.88606674405907,    25.57502789688753,    u
2024-07-03T14:09:41.500,    44.163667406354634,    16.386609758649552,    16.390914099557058,    283.28587559291293,    275.90552847726,    8.681221008300781,    1.1493571656090873,    4.018857308796474,    0.6058356932231358,    1.5,    34.88953523744882,    25.577508677291235,    u
2024-07-03T14:09:39.000,    44.16847610473633,    16.383087158203125,    16.387749671936035,    282.21570841471356,    255.57379150390625,    8.681132634480795,    1.1441667079925537,    3.9690001805623374,    0.6155999898910522,    1.75,    34.89675644239214,    25.58388476885034,    u
2024-07-03T14:09:36.250,    44.172372817993164,    16.382450103759766,    16.387080907821655,    282.8158874511719,    254.03249549865723,    8.680711150169373,    1.2653125375509262,    4.060437649488449,    0.5985937491059303,    2.0,    34.90066673266824,    25.587045554223806,    u
2024-07-03T14:09:33.500,    44.1745859781901,    16.38153076171875,    16.38564968109131,    284.01938883463544,    237.80779012044272,    8.680656433105469,    1.2753334045410156,    3.922666867574056,    0.6123833258946737,    2.25,    34.90334603777102,    25.589325153312075,    u
2024-07-03T14:09:31.250,    44.1750373840332,    16.380416870117188,    16.385062376658123,    283.493896484375,    226.85939280192056,    8.680469036102295,    1.2580000360806782,    4.054500102996826,    0.5768583317597707,    2.5,    34.904583354590265,    25.590547233496938,    u
2024-07-03T14:09:29.250,    44.175065994262695,    16.3795166015625,    16.384487628936768,    283.0529327392578,    220.8671417236328,    8.680007934570312,    1.1345000863075256,    4.057000279426575,    0.6006999611854553,    2.75,    34.90533154733821,    25.591337159942555,    u
