date;Conductivity;Temperature;Pressure;Temperature;Dissolved O₂ concentration;PAR;pH;Unknown;Unknown;Unknown;Sea pressure;Depth;Salinity;Speed of sound;Specific conductivity;Dissolved O₂ saturation;Density anomaly
2024-01-29 15:46:26,500;-0,00228672754019499;20,8950500488281;10,1045942306519;20,8232002258301;272,028503417969;0,0123543860390782;2,06715703010559;9,57500076293945;11,9750003814697;1272,76574707031;-0,0279054641723633;-0,0276779029518366;0;1485,07312011719;-2,48127031326294;97,5314254760742;
2024-01-29 15:46:27,000;-0,00222880509682;20,8955078125;10,1073923110962;20,8232002258301;272,028533935547;0,00811232719570398;2,06902241706848;9,70750045776367;11,2695007324219;1239,54455566406;-0,0251073837280273;-0,0249026399105787;0;1485,07446289063;-2,41839718818665;97,5323181152344;
2024-01-29 15:46:27,500;-0,00212132441811264;20,8959655761719;10,1082096099854;20,8233985900879;272,770050048828;0,0151622071862221;2,09683227539062;9,80400085449219;10,9035005569458;1233,06140136719;-0,0242900848388672;-0,0240920055657625;0;1485,07592773438;-2,30175185203552;97,799072265625;
2024-01-29 15:46:28,000;-0,00200382526963949;20,896240234375;10,1048488616943;20,8233985900879;272,77001953125;0,0123351672664285;2,06308531761169;11,3130006790161;2,59400010108948;567,640014648438;-0,0276508331298828;-0,0274253487586975;0;1485,07666015625;-2,17424654960632;97,7995910644531;
2024-01-29 15:46:28,500;-0,00232422444969416;20,8966674804687;10,1086645126343;20,8236999511719;273,663055419922;0,00668727792799473;2,26551914215088;10,2490005493164;-0,0185000002384186;371,512634277344;-0,0238351821899414;-0,023640813305974;0;1485,078125;-2,52187299728394;98,1206130981445;
2024-01-29 15:46:29,000;-0,00213674362748861;20,8968811035156;10,1065149307251;20,8236999511719;273,663055419922;0,00808663014322519;1,81639623641968;7,9200005531311;-0,0920000076293945;201,882598876953;-0,0259847640991211;-0,0257728658616543;0;1485,07861328125;-2,31843852996826;98,1210098266602;
2024-01-30 08:47:56,500;0,000952543516177684;8,9234619140625;10,2572708129883;9,58459949493408;367,001586914062;33,4322128295898;-5,36938333511353;0,241500005125999;4,93150043487549;1,04464995861053;0,124771118164063;0,123753644526005;0,00462012086063623;1442,95617675781;1,37464427947998;101,455505371094;-0,206841127653206
2024-01-30 08:47:57,000;0,00174266065005213;8,92608642578125;10,2578353881836;9,58459949493408;367,000915527344;38,5452308654785;-12,8219270706177;0,178500011563301;4,90799999237061;1,04425001144409;0,125335693359375;0,124313615262508;0,00493127945810556;1442,96728515625;2,51470446586609;101,461936950684;-0,206784598169747
2024-01-30 08:47:57,500;0,00125916209071875;8,92489624023438;10,260046005249;9,59989929199219;368,094848632813;33,0624542236328;-13,4164514541626;0,243500009179115;5,22500038146973;1,08445000648499;0,127546310424805;0,126506209373474;0,00473241973668337;1442,96228027344;1,81706309318542;101,76131439209;-0,206844163810729
2024-01-30 08:47:58,000;0,00180087133776397;8,92135620117188;10,2590322494507;9,59989929199219;368,094329833984;35,6732978820801;-10,0359287261963;0,219500005245209;4,99550008773804;1,05164992809296;0,126532554626465;0,125500723719597;0,00495391432195902;1442,94799804688;2,59904289245605;101,752639770508;-0,206413227283406
2024-01-30 08:47:58,500;0,00173369108233601;8,91888427734375;10,2529401779175;9,60239982604981;368,434295654297;48,3083724975586;-11,6148481369019;0,174500003457069;4,94550037384033;1,04894995689392;0,120440483093262;0,119458325207233;0,00492346240207553;1442,93786621094;2,50225782394409;101,840560913086;-0,206285095957696
2024-01-30 08:47:59,000;0,00193598808255047;8,91854858398438;10,2546482086182;9,60239982604981;368,434112548828;54,7352867126465;-9,99792098999023;0,270000010728836;4,92900037765503;1,04680001735687;0,122148513793945;0,121152430772781;0,00501186028122902;1442,93664550781;2,79426145553589;101,839744567871;-0,206182134872847
2024-01-30 08:47:59,500;0,00161926820874214;8,91934204101563;10,2578477859497;9,59669971466064;367,869018554688;58,5894622802734;-9,789794921875;0,235000014305115;5,00850009918213;1,0456999540329;0,125348091125488;0,124325916171074;0,0048749502748251;1442,93969726563;2,33708047866821;101,685417175293;-0,206333594753573
2024-01-30 08:48:00,000;0,00156497093848884;8,91827392578125;10,2597455978394;9,59669971466064;367,869079589844;59,7622184753418;-8,29143333435059;0,184000015258789;4,99050045013428;1,04435002803803;0,127245903015137;0,126208245754242;0,00485159736126661;1442,93542480469;2,25878000259399;101,682807922363;-0,206264559195347
2024-01-30 08:48:00,500;0,0013232387136668;8,9149169921875;10,2617406845093;9,60169982910156;368,505920410156;60,0261192321777;-8,32136058807373;0,212500005960464;4,93150043487549;1,04460000991821;0,129240989685059;0,128187075257301;0,00475173722952604;1442,92163085938;1,9100558757782;101,850540161133;-0,206087761172057
2024-01-30 08:48:01,000;0,00122753425966948;8,90988159179688;10,2570266723633;9,60169982910156;368,505920410156;59,3966979980469;-7,28484725952148;0,239500015974045;4,94550037384033;1,04390001296997;0,124526977539063;0,123511500656605;0,0047118435613811;1442,90100097656;1,77215528488159;101,838203430176;-0,205772749232096
2024-01-30 08:48:01,500;0,00121464766561985;8,90615844726563;10,257905960083;9,59200000762939;367,235961914063;58,8335876464844;-7,66960668563843;0,241000011563301;4,93150043487549;1,04514992237091;0,125406265258789;0,124383613467217;0,00470483768731356;1442,88562011719;1,75373125076294;101,478141784668;-0,205501239985097
2024-01-30 08:48:02,000;0,00156888784840703;8,90298461914063;10,2620487213135;9,59200000762939;367,235656738281;57,9035606384277;-6,6627688407898;0,22800001502037;4,95950031280518;1,04355001449585;0,129549026489258;0,128492593765259;0,00484476331621408;1442,873046875;2,26538825035095;101,470436096191;-0,205137921616711
