// Creator: RBR Ltd.
// Create time: 2025-06-24T07:46:39
// Instrument model firmware and serialID: RBRmaestro3 1.148 231853
// Sample period: 0.5 second
// Processing history:
//	/home/epoirier/Documents/PROJETS/2025/Proc_RBR_Somlit/20240130/rawdata/maestroP2I_231853_20240130_rebuilt.rsk opened using pyRSKtools v1.1.1.
//	Sea pressure calculated using an atmospheric pressure of 10.1325 dbar.
//	Zero-order hold corrected for channel(s) conductivity, temperature, pressure, temperature1, dissolved_o2_concentration, par, ph, chlorophyll-a, fdom, turbidity, sea_pressure, depth, salinity, speed_of_sound, specific_conductivity, dissolved_o2_saturation. Hold points were treated with interp.
//	Depth calculated using the TEOS-10 library and a latitude of 48.35 degrees
//	Profiling velocity calculated from depth, filtered with a windowLength of 3 samples.
//	Remove loops with the threshold of 0.05 m/s.
//	Sea pressure calculated using an atmospheric pressure of 10.1325 dbar.
//	Depth calculated using the TEOS-10 library and a latitude of 45.0 degrees
//	Profiling velocity calculated from depth, filtered with a windowLength of 3 samples.
//	Practical Salinity derived using TEOS-10 library
//	Potential density anomaly derived using the TEOS-10 library.
//	Binned with respect to depth using [0.625 7.5  ] boundaries with [0.25] m bin size.
// Comment: down CAST

// timestamp(yyyy-mm-ddTHH:MM:ss.FFF),    conductivity(mS/cm),    temperature(°C),    temperature1(°C),    dissolved_o2_concentration(µmol/L),    par(µMol/m²/s),    ph(pH_units),    chlorophyll-a(ug/l),    fdom(ppb),    turbidity(FTU),    depth(m),    salinity(PSU),    density_anomaly(kg/m³),    cast_direction
2024-01-30T08:57:05.500,    nan,    nan,    nan,    nan,    nan,    nan,    nan,    nan,    nan,    0.75,    nan,    nan,    d
2024-01-30T08:57:07.250,    37.28163146972656,    10.516647338867188,    10.520324945449829,    279.9937744140625,    40.391191482543945,    8.627338409423828,    0.8807500302791595,    7.244500398635864,    2.495049834251404,    1.0,    33.689534507904995,    25.84298323284986,    d
2024-01-30T08:57:08.500,    37.282815297444664,    10.51629638671875,    10.52026653289795,    280.21482340494794,    35.4889170328776,    8.627177874247232,    0.9225000341733297,    7.217833677927653,    2.825999895731608,    1.25,    33.69094983283554,    25.84415163349225,    d
2024-01-30T08:57:10.250,    37.28486728668213,    10.516441345214844,    10.52046251296997,    279.8588409423828,    32.036839962005615,    8.627054452896118,    0.9516250491142273,    7.240625381469727,    2.3506749868392944,    1.5,    33.69276268007075,    25.845544610150853,    d
2024-01-30T08:57:12.500,    37.2859390258789,    10.51640625,    10.520639419555664,    280.2630981445312,    29.976318740844725,    8.62717113494873,    0.9164000511169433,    7.187400436401367,    2.36065993309021,    1.75,    33.693778708849486,    25.84634680945851,    d
2024-01-30T08:57:14.500,    37.28707758585612,    10.516438802083334,    10.520399570465088,    281.13365681966144,    26.431875864664715,    8.627058664957682,    0.8998333811759949,    7.206500212351481,    2.4571499824523926,    2.0,    33.694761919134486,    25.847113411968092,    d
2024-01-30T08:57:16.500,    37.28706741333008,    10.51658935546875,    10.520559597015382,    280.335693359375,    23.696461868286132,    8.627001190185547,    0.9598000407218933,    7.194100475311279,    2.653469944000244,    2.25,    33.694505990339565,    25.846892712935052,    d
2024-01-30T08:57:18.500,    37.28683217366537,    10.516459147135416,    10.520449956258139,    280.5434875488281,    21.57570457458496,    8.627096811930338,    0.9323333700497946,    7.218000253041585,    2.7191832065582275,    2.5,    33.69428480902209,    25.846747716897198,    d
2024-01-30T08:57:20.000,    37.28732681274414,    10.516398111979166,    10.520475149154663,    280.5376281738281,    19.744818369547527,    8.627038955688477,    0.9258333643277487,    7.230666955312093,    2.7564332485198975,    2.75,    33.69473406432814,    25.847113192318677,    d
2024-01-30T08:57:21.500,    37.28793970743815,    10.516499837239584,    10.520425081253052,    280.0886739095052,    17.840548833211262,    8.62697950998942,    0.9596667091051737,    7.226667086283366,    2.4168833096822104,    3.0,    33.695133376350725,    25.847412358263835,    d
2024-01-30T08:57:23.750,    37.28880246480306,    10.516634623209635,    10.520541508992514,    280.1755777994792,    16.363184928894043,    8.627113819122314,    0.9154166976610819,    7.200000286102295,    2.4414749145507812,    3.25,    33.69576795302155,    25.8478884726206,    d
2024-01-30T08:57:26.000,    37.28789520263672,    10.516525268554688,    10.520524501800537,    280.6688741048177,    14.696714083353678,    8.627196311950684,    0.9306667248407999,    7.1843336423238116,    2.396199941635132,    3.5,    33.69483547101229,    25.84718626898257,    d
2024-01-30T08:57:27.500,    37.28894551595052,    10.516530354817709,    10.520358244578043,    280.5140686035156,    13.130680084228516,    8.627106348673502,    0.9375000397364298,    7.196833610534668,    2.6229332288106284,    3.75,    33.69576535067756,    25.847915617755614,    d
2024-01-30T08:57:29.500,    37.28983764648437,    10.516574096679687,    10.52057991027832,    280.37493896484375,    12.21128578186035,    8.627063179016114,    1.0143000483512878,    7.18590030670166,    2.3032899379730223,    4.0,    33.69652156709006,    25.848501957267672,    d
2024-01-30T08:57:31.750,    37.28917217254639,    10.516494750976562,    10.520549774169922,    280.54701232910156,    11.42775273323059,    8.627019166946411,    0.9745000526309013,    7.190750360488892,    2.679724931716919,    4.25,    33.69582086998061,    25.847974436665595,    d
2024-01-30T08:57:33.250,    37.28958702087402,    10.516525268554688,    10.520649671554565,    280.541748046875,    10.642378807067871,    8.627031326293945,    0.9997500479221344,    7.1615002155303955,    2.461650013923645,    4.5,    33.6961074355698,    25.848197147874657,    d
2024-01-30T08:57:34.750,    37.29121685028076,    10.51638412475586,    10.52037489414215,    280.5682373046875,    9.50631070137024,    8.62710952758789,    0.9635000675916672,    7.185500383377075,    2.4901874661445618,    4.75,    33.697754750326105,    25.849510998950564,    d
2024-01-30T08:57:37.000,    37.29228591918945,    10.5163330078125,    10.520049571990967,    280.3181579589844,    8.810413932800293,    8.626982879638671,    0.9480000495910644,    7.177100276947021,    2.531039905548096,    5.0,    33.698769690288806,    25.850315736029962,    d
2024-01-30T08:57:39.000,    37.29532368977865,    10.516215006510416,    10.52014970779419,    280.4210611979167,    7.954622586568196,    8.626900672912598,    0.964833398660024,    7.185500462849935,    2.306316614151001,    5.25,    33.701814495698216,    25.85271454013135,    d
2024-01-30T08:57:41.000,    37.299687194824216,    10.516033935546876,    10.520099639892578,    281.0767395019531,    7.272697162628174,    8.626928520202636,    0.9705000400543213,    7.172500324249268,    2.5321999549865724,    5.5,    33.706256772379255,    25.85621310752963,    d
2024-01-30T08:57:43.250,    37.30427265167236,    10.515800476074219,    10.520337462425232,    281.36468505859375,    6.667900562286377,    8.626681089401245,    0.9638750553131104,    7.172000288963318,    2.6785999536514282,    5.75,    33.71097457678147,    25.859935323912964,    d
2024-01-30T08:57:45.000,    37.305843353271484,    10.515787760416666,    10.520099639892578,    280.34230550130206,    6.167016665140788,    8.626692771911621,    0.9565000335375468,    7.161500295003255,    2.2273333072662354,    6.0,    33.71246447451021,    25.861103286695805,    d
2024-01-30T08:57:46.750,    37.30327033996582,    10.515830993652344,    10.52006208896637,    280.6627502441406,    5.704008221626282,    8.626720905303955,    1.0408750623464584,    7.179250240325928,    2.41783744096756,    6.25,    33.70972665101541,    25.85896715648937,    d
2024-01-30T08:57:48.250,    37.305036544799805,    10.5159912109375,    10.520174741744995,    280.6763458251953,    5.223114967346191,    8.62635612487793,    1.0005000829696655,    7.148500442504883,    2.4366499185562134,    6.5,    33.711241672635566,    25.86012522897181,    d
2024-01-30T08:57:50.000,    37.312347412109375,    10.515945434570312,    10.519929790496827,    281.23912353515624,    4.685848236083984,    8.626074409484863,    1.0652000308036804,    7.1380002975463865,    2.4499799728393556,    6.75,    33.718520926006136,    25.865811403490035,    d
2024-01-30T08:57:52.250,    37.32195854187012,    10.515769958496094,    10.519699573516846,    281.04212188720703,    4.349894165992737,    8.626001358032227,    1.0200000405311584,    7.166375279426575,    2.3359874486923218,    7.0,    33.72826679254058,    25.873440895166027,    d
2024-01-30T08:57:54.250,    37.3213415145874,    10.515979766845703,    10.519699573516846,    279.8649215698242,    3.8538342118263245,    8.62582015991211,    1.0127500146627426,    7.144625425338745,    2.6354499459266663,    7.25,    33.72732235529531,    25.87267438377296,    d
2024-01-30T08:57:56.500,    37.33144073486328,    10.515716552734375,    10.519879627227784,    280.985302734375,    3.4780863761901855,    8.625374221801758,    0.8809000372886657,    7.142200374603272,    2.581459951400757,    7.5,    33.737612922581,    25.8807449054837,    d
