// Creator: RBR Ltd.
// Create time: 2025-06-20T09:26:01
// Instrument model firmware and serialID: RBRconcerto³ 1.107 66098
// Sample period: 0.125 second
// Processing history:
//	/home/epoirier/Documents/PROJETS/2025/Proc_RBR_Somlit/rawdata/sample.rsk opened using pyRSKtools v1.1.1.
//	Sea pressure calculated using an atmospheric pressure of 10.1325 dbar.
//	Depth calculated using the TEOS-10 library and a latitude of 45.0 degrees
//	Profiling velocity calculated from depth, filtered with a windowLength of 3 samples.
//	Practical Salinity derived using TEOS-10 library
//	Potential density anomaly derived using the TEOS-10 library.
//	Binned with respect to depth using [30.5  9. ] boundaries with [1.] m bin size.
// Comment: upcast binned

// timestamp(yyyy-mm-ddTHH:MM:ss.FFF),    conductivity(mS/cm),    temperature(°C),    depth(m),    salinity(PSU),    density_anomaly(kg/m³),    cast_direction
2021-10-30T05:47:40.812,    40.45605342176704,    14.338934251245503,    9.0,    33.32379154551076,    24.825525852227265,    u
2021-10-30T05:47:38.312,    40.444806926896646,    14.32426119755054,    10.0,    33.325715082280865,    24.830123711093847,    u
2021-10-30T05:47:35.250,    40.4278183896835,    14.301993900933205,    11.0,    33.328926987575144,    24.837302012021112,    u
2021-10-30T05:47:32.250,    40.3505327407025,    14.185353242786956,    12.0,    33.35804960282597,    24.88423564737402,    u
2021-10-30T05:47:29.687,    40.350288442511705,    14.145569725012404,    13.0,    33.39188892605607,    24.918681791310167,    u
2021-10-30T05:47:27.062,    40.31749501503319,    14.06625503708321,    14.0,    33.42997074590584,    24.964619910301767,    u
2021-10-30T05:47:24.437,    40.25075627497782,    13.980924277742508,    15.0,    33.441929572143486,    24.991591786437755,    u
2021-10-30T05:47:22.062,    40.18364719360582,    13.915677553221482,    16.0,    33.43604516772148,    25.00056098107248,    u
2021-10-30T05:47:19.625,    40.01867807137347,    13.757214119137657,    17.0,    33.420322977689615,    25.021028323197438,    u
2021-10-30T05:47:17.062,    39.890436990166236,    13.62604545233014,    18.0,    33.41481105104428,    25.04358538504265,    u
2021-10-30T05:47:14.875,    39.67685755528955,    13.420125907361808,    19.0,    33.39456711495189,    25.06967881718133,    u
2021-10-30T05:47:13.062,    39.59555947731021,    13.325035133664471,    20.0,    33.40116609253483,    25.093952255713216,    u
2021-10-30T05:47:11.062,    39.56734768410209,    13.293968787710362,    21.0,    33.40146597899665,    25.100439964153516,    u
2021-10-30T05:47:08.812,    39.502433019897424,    13.231067479334307,    22.0,    33.395162310094875,    25.108173450136697,    u
2021-10-30T05:47:06.562,    39.3809486680624,    13.102677014593562,    23.0,    33.39299619226156,    25.132086620811226,    u
2021-10-30T05:47:04.375,    39.536041008687675,    13.203290798171555,    24.0,    33.45045708630772,    25.156547486193364,    u
2021-10-30T05:47:02.375,    39.77281520830146,    13.352713771633386,    25.0,    33.541436148261866,    25.19698975992719,    u
2021-10-30T05:47:00.687,    39.890221198904804,    13.408445711695762,    26.0,    33.602377749100576,    25.232946072282953,    u
2021-10-30T05:46:59.187,    39.86464051884196,    13.375516553527527,    27.0,    33.606964816759934,    25.243163774165396,    u
2021-10-30T05:46:57.625,    39.802709852627196,    13.310695562641994,    28.0,    33.605482291566446,    25.25508307879636,    u
2021-10-30T05:46:55.875,    39.747568076982034,    13.246727154931534,    29.0,    33.60964452675513,    25.271168829226767,    u
2021-10-30T05:46:53.937,    39.742599886260756,    13.239020972420477,    30.0,    33.61136745419718,    25.27407216152686,    u
